model,outer_fold,context_id,output,feature,feature_family,shapley_value,baseline_output,full_output,completeness_residual,feature_value,feature_value_semantics,feature_value_percentile
joint model,0,context:18ff98d098dbd02ed5f75395,site-ranking logit contrast,solvent::solvent_delta_p,solvent,-0.01914810317322,2.7661226936209093,2.1568137673331997,0.0,-1.2749426364898682,standardized solvent value,0.0725
joint model,0,context:18ff98d098dbd02ed5f75395,site-ranking logit contrast,solvent::solvent_delta_h,solvent,0.0030608998588025,2.7661226936209093,2.1568137673331997,0.0,-0.454887181520462,standardized solvent value,0.1925
joint model,0,context:18ff98d098dbd02ed5f75395,site-ranking logit contrast,solvent::solvent_delta,solvent,-0.0039136391150597,2.7661226936209093,2.1568137673331997,0.0,-0.6996294260025024,standardized solvent value,0.0725
joint model,0,context:18ff98d098dbd02ed5f75395,site-ranking logit contrast,solvent::identity,solvent,0.0016037366451429,2.7661226936209093,2.1568137673331997,0.0,,categorical vocabulary index; color disabled,
joint model,0,context:18ff98d098dbd02ed5f75395,site-ranking logit contrast,context::formal_charge,formal charge,-0.0683663951324402,2.7661226936209093,2.1568137673331997,0.0,0.6713831424713135,standardized molecular formal charge,0.8225
joint model,0,context:1e09b044d95fdd440ea85ec5,site-ranking logit contrast,local::alpb_fukui_minus_density,local electronic,-0.119971123228813,1.1602287533100166,1.371748084781501,2.775557561562892e-17,0.702061653137207,mean standardized node value,0.8675
joint model,0,context:1e09b044d95fdd440ea85ec5,site-ranking logit contrast,local::alpb_cm5,local electronic,-0.0852078586782397,1.1602287533100166,1.371748084781501,2.775557561562892e-17,-0.2712089717388153,mean standardized node value,0.1075
joint model,0,context:1e09b044d95fdd440ea85ec5,site-ranking logit contrast,local::alpb_condensed_softness,local electronic,0.0172339477927484,1.1602287533100166,1.371748084781501,2.775557561562892e-17,0.2469029277563095,mean standardized node value,0.8075
joint model,0,context:1e09b044d95fdd440ea85ec5,site-ranking logit contrast,local::alpb_condensed_nucleophilicity_index_ev,local electronic,0.0700858847585616,1.1602287533100166,1.371748084781501,2.775557561562892e-17,0.6802185773849487,mean standardized node value,0.8875
joint model,0,context:1e09b044d95fdd440ea85ec5,site-ranking logit contrast,global::alpb_homo_n_hartree,global electronic,0.0399315421916029,1.1602287533100166,1.371748084781501,2.775557561562892e-17,0.4194326400756836,standardized molecular value,0.6275
joint model,0,context:1e09b044d95fdd440ea85ec5,site-ranking logit contrast,global::alpb_softness_hartree_inverse,global electronic,-0.0180103217960163,1.1602287533100166,1.371748084781501,2.775557561562892e-17,-0.2472195774316787,standardized molecular value,0.2875
joint model,0,context:1e09b044d95fdd440ea85ec5,site-ranking logit contrast,global::alpb_vip_hartree,global electronic,0.0177741192334799,1.1602287533100166,1.371748084781501,2.775557561562892e-17,-0.2142024487257003,standardized molecular value,0.4175
joint model,0,context:1e09b044d95fdd440ea85ec5,site-ranking logit contrast,global::alpb_nucleophilicity_index_hartree,global electronic,0.0422466189727701,1.1602287533100166,1.371748084781501,2.775557561562892e-17,0.4194326400756836,standardized molecular value,0.6275
joint model,0,context:1e09b044d95fdd440ea85ec5,site-ranking logit contrast,global::alpb_homo_n_minus_1_hartree,global electronic,0.021548572132111,1.1602287533100166,1.371748084781501,2.775557561562892e-17,0.0093582542613148,standardized molecular value,0.4575
joint model,0,context:1e09b044d95fdd440ea85ec5,site-ranking logit contrast,global::delta_e_solv_hartree,global electronic,0.0155976650962481,1.1602287533100166,1.371748084781501,2.775557561562892e-17,-1.244560956954956,standardized molecular value,0.1475
joint model,0,context:1e09b044d95fdd440ea85ec5,site-ranking logit contrast,solvent::solvent_nD,solvent,0.0012216986615562,1.1602287533100166,1.371748084781501,2.775557561562892e-17,1.4722886085510254,standardized solvent value,0.9825
joint model,0,context:1e09b044d95fdd440ea85ec5,site-ranking logit contrast,solvent::solvent_f(n^2),solvent,-0.0150113338845512,1.1602287533100166,1.371748084781501,2.775557561562892e-17,1.4439126253128052,standardized solvent value,0.9825
joint model,0,context:1e09b044d95fdd440ea85ec5,site-ranking logit contrast,solvent::solvent_epsilon_r,solvent,0.0047725482902977,1.1602287533100166,1.371748084781501,2.775557561562892e-17,0.6121564507484436,standardized solvent value,0.7225
joint model,0,context:1e09b044d95fdd440ea85ec5,site-ranking logit contrast,solvent::solvent_ET(30),solvent,-0.0015204197001178,1.1602287533100166,1.371748084781501,2.775557561562892e-17,-0.0736109316349029,standardized solvent value,0.4025
joint model,0,context:1e09b044d95fdd440ea85ec5,site-ranking logit contrast,solvent::solvent_DI,solvent,-0.0254637900107272,1.1602287533100166,1.371748084781501,2.775557561562892e-17,1.3803296089172363,standardized solvent value,0.9825
joint model,0,context:1e09b044d95fdd440ea85ec5,site-ranking logit contrast,solvent::solvent_ES,solvent,0.0097506469142782,1.1602287533100166,1.371748084781501,2.775557561562892e-17,1.3618896007537842,standardized solvent value,0.9425
joint model,0,context:1e09b044d95fdd440ea85ec5,site-ranking logit contrast,solvent::solvent_alpha_1,solvent,-0.0152208453190194,1.1602287533100166,1.371748084781501,2.775557561562892e-17,-0.6153729557991028,standardized solvent value,0.0275
joint model,0,context:1e09b044d95fdd440ea85ec5,site-ranking logit contrast,solvent::solvent_beta_1,solvent,0.0450588935264913,1.1602287533100166,1.371748084781501,2.775557561562892e-17,1.4616076946258545,standardized solvent value,0.8925
joint model,0,context:1e09b044d95fdd440ea85ec5,site-ranking logit contrast,solvent::solvent_alpha,solvent,-0.0025321828164747,1.1602287533100166,1.371748084781501,2.775557561562892e-17,-0.6961849331855774,standardized solvent value,0.0275
joint model,0,context:1e09b044d95fdd440ea85ec5,site-ranking logit contrast,solvent::solvent_beta,solvent,0.0499724213811946,1.1602287533100166,1.371748084781501,2.775557561562892e-17,1.5455529689788818,standardized solvent value,0.9025
joint model,0,context:1e09b044d95fdd440ea85ec5,site-ranking logit contrast,solvent::solvent_pi_*,solvent,-0.0085543396611759,1.1602287533100166,1.371748084781501,2.775557561562892e-17,1.1088238954544067,standardized solvent value,0.7725
joint model,0,context:1e09b044d95fdd440ea85ec5,site-ranking logit contrast,solvent::solvent_SPP,solvent,0.0506337203685786,1.1602287533100166,1.371748084781501,2.775557561562892e-17,1.706855058670044,standardized solvent value,0.9425
joint model,0,context:1e09b044d95fdd440ea85ec5,site-ranking logit contrast,solvent::solvent_SB,solvent,0.0386228348497566,1.1602287533100166,1.371748084781501,2.775557561562892e-17,1.693124771118164,standardized solvent value,0.9425
