model,outer_fold,context_id,connectivity_id,output,pathway,shapley_value,pathway_value,pathway_value_semantics,baseline_output,full_output,completeness_residual,pathway_value_percentile,pathway_value_color_semantics
joint model,3,context:21e256d7c18c11cf1be01ff2,JRMQJLMBSMCLHJ,conditional N,molecular formal charge,-0.0797600481245,-1.42649352551,standardized signed scalar,17.7084261576,18.0201053619,0,0.046783625731,"within-pathway empirical percentile; color only, not a model output"
joint model,2,context:222215f383f7930f46670801,SUYJEMFJSAFJBG,conditional N,molecular formal charge,0.522783041,-1.40662312508,standardized signed scalar,6.38224633535,21.6616401672,0,0.115497076023,"within-pathway empirical percentile; color only, not a model output"
joint model,4,context:2227e91f71b84c9827a2db9f,XDTNJCHVNRPULS,conditional N,molecular formal charge,-1.04711808099,0.683384299278,standardized signed scalar,13.060286204,10.6776666641,0,0.926413255361,"within-pathway empirical percentile; color only, not a model output"
joint model,4,context:225c2e58862e9a974965867f,KGANXKJXGWZHIT,conditional N,molecular formal charge,-2.13671028614,0.683384299278,standardized signed scalar,13.938349088,17.9903297424,0,0.926413255361,"within-pathway empirical percentile; color only, not a model output"
joint model,1,context:225d83664fdeb392a8139654,PAKGNZCTBNXXBR,conditional N,molecular formal charge,1.71095352703,-1.39637601376,standardized signed scalar,8.70759264628,16.4843769073,0,0.176900584795,"within-pathway empirical percentile; color only, not a model output"
joint model,4,context:22ab4d7e6a8daad7c4923d83,BUDQDWGNQVEFAC,conditional N,molecular formal charge,0.0460601250331,0.683384299278,standardized signed scalar,11.6748097738,4.81441227595,0,0.926413255361,"within-pathway empirical percentile; color only, not a model output"
joint model,0,context:22ab8ea7871358274033ad6b,CLLOFODTUXGHHT,conditional N,molecular formal charge,0.245818932851,-1.38442146778,standardized signed scalar,14.235417366,16.864315033,0,0.234892787524,"within-pathway empirical percentile; color only, not a model output"
joint model,4,context:230cf6f4895a503eff45eb66,HDZGCSFEDULWCS,conditional N,molecular formal charge,-1.72333131896,0.683384299278,standardized signed scalar,19.7218119303,15.5492261251,0,0.926413255361,"within-pathway empirical percentile; color only, not a model output"
joint model,4,context:233a959a2c911e0011325237,CHVJITGCYZJHLR,conditional N,molecular formal charge,1.1348407401,0.683384299278,standardized signed scalar,3.01887623469,2.52632013957,0,0.926413255361,"within-pathway empirical percentile; color only, not a model output"
joint model,1,context:2342a64135a1f8a923b559ff,JUJWROOIHBZHMG,conditional N,molecular formal charge,-1.28917357657,0.664344012737,standardized signed scalar,19.3072795868,10.8659451803,0,0.651559454191,"within-pathway empirical percentile; color only, not a model output"
